,sentiment,city,country,region
297,negative,Riyadh,Saudi Arabia,Gulf
298,neutral,Jeddha,Saudi Arabia,Gulf
299,negative,Salt,Jordan,Levant
300,negative,Jeddha,Saudi Arabia,Levant
301,neutral,Riyadh,Saudi Arabia,Gulf
302,neutral,Jeddha,Saudi Arabia,Gulf
303,neutral,Riyadh,Saudi Arabia,Gulf
304,positive,Riyadh,Saudi Arabia,Gulf
305,negative,Riyadh,Saudi Arabia,Gulf
306,negative,Riyadh,Saudi Arabia,Gulf
307,neutral,Riyadh,Saudi Arabia,Gulf
308,neutral,Salt,Jordan,Levant
309,neutral,Salt,Jordan,Levant
310,negative,Riyadh,Saudi Arabia,Gulf
311,positive,Riyadh,Saudi Arabia,Gulf
312,neutral,Riyadh,Saudi Arabia,Gulf
313,neutral,Jeddha,Saudi Arabia,Gulf
314,neutral,Khartoum,Sudan,Nile Basin
315,positive,Riyadh,Saudi Arabia,Gulf
316,negative,Riyadh,Saudi Arabia,Gulf
317,negative,Riyadh,Saudi Arabia,Gulf
318,positive,Riyadh,Saudi Arabia,Gulf
319,negative,Riyadh,Saudi Arabia,Gulf
320,neutral,Riyadh,Saudi Arabia,Gulf
321,neutral,Salt,Jordan,Levant
322,neutral,Khartoum,Sudan,Nile Basin
323,neutral,Jeddha,Saudi Arabia,Gulf
324,neutral,Riyadh,Saudi Arabia,Gulf
325,neutral,Khartoum,Sudan,Nile Basin
326,negative,Salt,Jordan,Levant
327,neutral,Riyadh,Saudi Arabia,Gulf
328,neutral,Khartoum,Sudan,Nile Basin
329,neutral,Riyadh,Saudi Arabia,Gulf
330,neutral,Salt,Jordan,Levant
331,positive,Riyadh,Saudi Arabia,Gulf
332,neutral,Riyadh,Saudi Arabia,Gulf
333,neutral,Khartoum,Sudan,Nile Basin
334,negative,Riyadh,Saudi Arabia,Gulf
335,neutral,Riyadh,Saudi Arabia,Gulf
336,positive,Khartoum,Sudan,Nile Basin
337,positive,Riyadh,Saudi Arabia,Gulf
338,negative,Riyadh,Saudi Arabia,Gulf
339,positive,Riyadh,Saudi Arabia,Gulf
340,neutral,Amman,Syria,Levant
341,positive,Jeddha,Saudi Arabia,Gulf
342,positive,Salt,Jordan,Levant
343,neutral,Riyadh,Saudi Arabia,Gulf
344,neutral,Riyadh,Saudi Arabia,Gulf
345,negative,Salt,Jordan,Levant
346,neutral,Riyadh,Saudi Arabia,Gulf
347,negative,Riyadh,Saudi Arabia,Gulf
348,neutral,Jeddha,Saudi Arabia,Gulf
349,neutral,Salt,Jordan,Levant
350,negative,Riyadh,Saudi Arabia,Gulf
351,neutral,Riyadh,Saudi Arabia,Gulf
352,neutral,Riyadh,Saudi Arabia,Gulf
353,neutral,Riyadh,Saudi Arabia,Gulf
354,neutral,Riyadh,Saudi Arabia,Gulf
355,neutral,Riyadh,Saudi Arabia,Gulf
356,neutral,Amman,Syria,Levant
357,negative,Riyadh,Saudi Arabia,Gulf
358,neutral,Riyadh,Saudi Arabia,Gulf
359,negative,Riyadh,Saudi Arabia,Gulf
360,neutral,Salt,Jordan,Levant
361,neutral,Riyadh,Saudi Arabia,Gulf
362,negative,Riyadh,Saudi Arabia,Gulf
363,neutral,Riyadh,Saudi Arabia,Gulf
364,neutral,Riyadh,Saudi Arabia,Gulf
365,neutral,Riyadh,Saudi Arabia,Gulf
366,neutral,Jeddha,Saudi Arabia,Levant
367,neutral,Riyadh,Saudi Arabia,Gulf
368,negative,Khartoum,Sudan,Nile Basin
369,neutral,Aleppo,Syria,Levant
370,positive,Salt,Jordan,Levant
371,positive,Riyadh,Saudi Arabia,Gulf
372,negative,Riyadh,Saudi Arabia,Gulf
373,neutral,Riyadh,Saudi Arabia,Gulf
374,negative,Riyadh,Saudi Arabia,Gulf
375,negative,Riyadh,Saudi Arabia,Gulf
376,negative,Salt,Jordan,Levant
377,negative,Salt,Jordan,Levant
378,negative,Jeddha,Saudi Arabia,Gulf
379,negative,Jeddha,Saudi Arabia,Gulf
380,negative,Riyadh,Saudi Arabia,Gulf
381,neutral,Riyadh,Saudi Arabia,Gulf
382,negative,Riyadh,Saudi Arabia,Gulf
383,neutral,Riyadh,Saudi Arabia,Gulf
384,neutral,Jeddha,Saudi Arabia,Levant
385,neutral,Riyadh,Saudi Arabia,Gulf
386,negative,Riyadh,Saudi Arabia,Gulf
387,neutral,Salt,Jordan,Levant
388,negative,Riyadh,Saudi Arabia,Gulf
389,neutral,Riyadh,Saudi Arabia,Gulf
390,negative,Riyadh,Saudi Arabia,Gulf
391,neutral,Riyadh,Saudi Arabia,Gulf
392,negative,Rabat,Morocco,Maghreb
393,negative,Salt,Jordan,Levant
394,negative,Salt,Jordan,Levant
395,positive,Jeddha,Saudi Arabia,Gulf
396,negative,Salt,Jordan,Levant
397,neutral,Riyadh,Saudi Arabia,Gulf
398,neutral,Salt,Saudi Arabia,Gulf
399,positive,Riyadh,Saudi Arabia,Gulf
400,neutral,Jeddha,Saudi Arabia,Gulf
401,negative,Riyadh,Saudi Arabia,Gulf
402,negative,Riyadh,Saudi Arabia,Gulf
403,neutral,Salt,Jordan,Levant
404,neutral,Riyadh,Saudi Arabia,Gulf
405,negative,Riyadh,Saudi Arabia,Gulf
406,negative,Salt,Jordan,Levant
407,negative,Salt,Jordan,Levant
408,negative,Riyadh,Saudi Arabia,Gulf
409,negative,Jeddha,Saudi Arabia,Gulf
410,neutral,Riyadh,Saudi Arabia,Gulf
411,negative,Jeddha,Saudi Arabia,Gulf
412,negative,Riyadh,Saudi Arabia,Gulf
413,positive,Riyadh,Saudi Arabia,Gulf
414,neutral,Jeddha,Saudi Arabia,Gulf
415,negative,Riyadh,Saudi Arabia,Gulf
416,neutral,Riyadh,Saudi Arabia,Gulf
417,neutral,Salt,Jordan,Levant
418,neutral,Riyadh,Saudi Arabia,Gulf
419,positive,Riyadh,Saudi Arabia,Gulf
420,positive,Riyadh,Saudi Arabia,Gulf
421,neutral,Salt,Jordan,Levant
422,neutral,Riyadh,Saudi Arabia,Gulf
423,neutral,Riyadh,Saudi Arabia,Gulf
424,negative,Salt,Jordan,Levant
425,negative,Riyadh,Saudi Arabia,Gulf
426,positive,Riyadh,Saudi Arabia,Gulf
427,positive,Riyadh,Saudi Arabia,Gulf
428,negative,Riyadh,Saudi Arabia,Gulf
429,neutral,Riyadh,Saudi Arabia,Gulf
430,neutral,Jeddha,Saudi Arabia,Gulf
431,neutral,Riyadh,Saudi Arabia,Gulf
432,negative,Aleppo,Syria,Levant
433,neutral,Riyadh,Saudi Arabia,Gulf
434,positive,Riyadh,Saudi Arabia,Gulf
435,neutral,Riyadh,Saudi Arabia,Gulf
436,positive,Riyadh,Saudi Arabia,Gulf
437,negative,Riyadh,Saudi Arabia,Gulf
438,negative,Salt,Jordan,Levant
439,positive,Riyadh,Saudi Arabia,Gulf
440,negative,Salt,Jordan,Levant
441,neutral,Jeddha,Saudi Arabia,Gulf
442,positive,Riyadh,Saudi Arabia,Gulf
443,positive,Riyadh,Saudi Arabia,Gulf
444,positive,Riyadh,Saudi Arabia,Gulf
445,positive,Riyadh,Saudi Arabia,Gulf
446,neutral,Riyadh,Saudi Arabia,Gulf
447,negative,Riyadh,Saudi Arabia,Gulf
448,negative,Salt,Jordan,Levant
449,negative,Riyadh,Saudi Arabia,Gulf
450,neutral,Rabat,Morocco,Maghreb
