,sentiment,city,country,region
15591,negative,Jeddha,Saudi Arabia,Gulf
15592,negative,Jeddha,Saudi Arabia,Gulf
15593,neutral,Riyadh,Saudi Arabia,Gulf
15594,neutral,Riyadh,Saudi Arabia,Gulf
15595,negative,Riyadh,Saudi Arabia,Gulf
15596,neutral,Khartoum,Sudan,Nile Basin
15597,negative,Riyadh,Saudi Arabia,Gulf
15598,negative,Riyadh,Saudi Arabia,Gulf
15599,negative,Salt,Jordan,Levant
15600,neutral,Khartoum,Sudan,Nile Basin
15601,negative,Riyadh,Saudi Arabia,Gulf
15602,neutral,Riyadh,Saudi Arabia,Gulf
15603,neutral,Riyadh,Saudi Arabia,Gulf
15604,neutral,Riyadh,Saudi Arabia,Gulf
15605,negative,Riyadh,Saudi Arabia,Gulf
15606,neutral,Riyadh,Saudi Arabia,Gulf
15607,positive,Salt,Saudi Arabia,Gulf
15608,neutral,Khartoum,Sudan,Nile Basin
15609,positive,Riyadh,Saudi Arabia,Gulf
15610,positive,Riyadh,Saudi Arabia,Gulf
15611,positive,Riyadh,Saudi Arabia,Gulf
15612,negative,Aleppo,Syria,Levant
15613,negative,Riyadh,Saudi Arabia,Gulf
